Reduced_ID,Original_ID
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,12
11,13
12,14
13,15
14,16
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
25,32
26,33
27,34
28,35
29,36
30,38
31,39
32,40
33,41
34,43
35,44
36,45
37,46
38,49
39,50
40,51
41,52
42,54
43,55
44,56
45,57
46,58
47,59
48,62
49,63
50,64
51,65
52,66
53,68
54,69
55,70
56,71
57,72
58,74
59,75
60,76
61,78
62,79
63,80
64,81
65,82
66,83
67,85
68,86
69,87
70,89
71,90
72,91
73,92
74,93
75,94
76,95
77,96
78,97
79,98
80,99
81,100
82,101
83,102
84,103
85,104
86,105
87,107
88,108
89,109
90,110
91,111
92,114
93,115
94,116
95,117
96,118
97,121
98,122
99,124
100,125
101,126
102,128
103,129
104,130
105,132
106,133
107,136
108,137
109,138
110,139
111,140
112,142
113,143
114,144
115,147
116,148
117,150
118,151
119,154
120,155
121,156
122,157
123,159
124,160
125,161
126,162
127,163
128,164
129,165
130,166
131,167
132,168
133,169
134,170
135,171
136,172
137,173
138,174
139,175
140,176
141,177
142,178
143,179
144,180
145,182
146,183
147,184
148,185
149,187
150,188
151,189
152,191
153,192
154,193
155,194
156,196
157,197
158,199
159,200
160,201
161,202
162,203
163,204
164,205
165,206
166,207
167,208
168,209
169,211
170,213
171,214
172,215
173,216
174,217
175,218
176,219
177,221
178,222
179,223
180,224
181,225
182,227
183,228
184,229
185,230
186,231
187,232
188,233
189,234
190,235
191,236
192,237
193,238
194,239
195,240
196,241
197,242
198,243
199,244
200,245
201,246
202,247
203,248
204,249
205,251
206,253
207,254
208,255
209,257
210,259
211,260
212,262
213,263
214,264
215,265
216,266
217,267
218,268
219,269
220,270
221,271
222,272
223,273
224,275
225,276
226,277
227,278
228,279
229,281
230,282
231,283
232,284
233,285
234,287
235,288
236,289
237,290
238,292
239,293
240,294
241,295
242,296
243,297
244,298
245,299
246,300
247,301
248,302
249,304
250,305
251,306
252,308
253,311
254,312
255,313
256,314
257,315
258,316
259,317
260,318
261,319
262,320
263,321
264,323
265,324
266,325
267,326
268,328
269,330
270,331
271,332
272,334
273,336
274,339
275,340
276,341
277,343
278,344
279,345
280,347
281,350
282,352
283,353
284,354
285,355
286,356
287,357
288,359
289,361
290,362
291,363
292,364
293,365
294,366
295,367
296,368
297,369
298,370
299,371
300,372
301,373
302,374
303,375
304,377
305,379
306,380
307,381
308,382
309,383
310,384
311,385
312,386
313,388
314,389
315,390
316,392
317,393
318,394
319,395
320,396
321,398
322,399
323,400
324,401
325,402
326,403
327,404
328,405
329,406
330,407
331,408
332,410
333,411
334,413
335,415
336,416
337,417
338,418
339,419
340,420
341,421
342,422
343,425
344,427
345,428
346,430
347,431
348,432
349,433
350,434
351,435
352,436
353,437
354,438
355,439
356,440
357,441
358,442
359,444
360,445
361,446
362,447
363,448
364,449
365,451
366,452
367,453
368,454
369,455
370,456
371,457
372,459
373,460
374,461
375,462
376,465
377,467
378,468
379,469
380,470
381,471
382,472
383,473
384,475
385,477
386,479
387,480
388,481
389,482
390,483
391,484
392,485
393,488
394,489
395,490
396,491
397,492
398,493
399,494
400,495
401,496
402,497
403,498
404,499
405,500
406,502
407,503
408,504
409,505
410,506
411,508
412,509
413,510
414,511
415,512
416,513
417,514
418,515
419,517
420,518
421,519
422,520
423,521
424,523
425,524
426,525
427,526
428,527
429,528
430,529
431,531
432,532
433,534
434,537
435,538
436,539
437,540
438,541
439,542
440,543
441,544
442,546
443,548
444,549
445,551
446,552
447,553
448,554
449,555
450,557
451,558
452,559
453,560
454,561
455,563
456,564
457,565
458,566
459,567
460,568
461,570
462,571
463,572
464,573
465,574
466,575
467,576
468,577
469,578
470,579
471,580
472,581
473,582
474,583
475,585
476,586
477,587
478,588
479,589
480,590
481,591
482,592
483,593
484,594
485,595
486,596
487,597
488,598
489,599
490,600
491,602
492,603
493,604
494,605
495,606
496,607
497,608
498,609
499,610
500,611
501,612
502,613
503,614
504,615
505,616
506,617
507,618
508,619
509,620
510,621
511,622
512,623
513,624
514,627
515,629
516,630
517,631
518,632
519,633
520,634
521,636
522,637
523,639
524,640
525,641
526,642
527,643
528,644
529,645
530,646
531,647
532,648
533,649
534,650
535,651
536,652
537,654
538,655
539,656
540,657
541,658
542,660
543,661
544,662
545,663
546,664
547,665
548,666
549,667
550,668
551,669
552,671
553,672
554,674
555,675
556,676
557,678
558,679
559,680
560,682
561,684
562,685
563,686
564,689
565,690
566,691
567,692
568,693
569,694
570,695
571,698
572,699
573,700
574,701
575,704
576,706
577,707
578,708
579,709
580,711
581,712
582,714
583,715
584,716
585,717
586,718
587,719
588,720
589,721
590,722
591,723
592,724
593,725
594,726
595,727
596,729
597,730
598,731
599,732
600,733
601,734
602,736
603,737
604,738
605,739
606,740
607,741
608,742
609,744
610,745
611,747
612,748
613,749
614,750
615,751
616,752
617,753
618,754
619,756
620,757
621,758
622,759
623,761
624,762
625,763
626,764
627,765
628,766
629,767
630,768
631,769
632,771
633,772
634,773
635,774
636,775
637,776
638,777
639,778
640,779
641,781
642,782
643,783
644,784
645,785
646,786
647,788
648,789
649,790
650,791
651,793
652,794
653,795
654,796
655,798
656,799
657,800
658,801
659,802
660,803
661,806
662,808
663,810
664,811
665,812
666,813
667,814
668,815
669,817
670,818
671,819
672,820
673,821
674,822
675,823
676,824
677,825
678,826
679,827
680,828
681,829
682,830
683,831
684,832
685,833
686,834
687,835
688,836
689,837
690,838
691,839
692,841
693,842
694,843
695,844
696,846
697,847
698,848
699,850
700,851
701,852
702,853
703,854
704,855
705,856
706,857
707,858
708,859
709,860
710,861
711,862
712,863
713,864
714,865
715,866
716,867
717,868
718,869
719,870
720,871
721,872
722,874
723,875
724,876
725,877
726,878
727,879
728,880
729,881
730,882
731,883
732,884
733,885
734,887
735,888
736,889
737,890
738,891
739,892
740,894
741,896
742,897
743,898
744,900
745,901
746,902
747,903
748,904
749,905
750,906
751,907
752,908
753,910
754,911
755,912
756,913
757,915
758,916
759,918
760,919
761,920
762,921
763,922
764,923
765,924
766,925
767,926
768,927
769,928
770,929
771,930
772,931
773,932
774,933
775,934
776,935
777,936
778,937
779,938
780,940
781,941
782,942
783,943
784,945
785,946
786,948
787,950
788,951
789,952
790,953
791,954
792,955
793,957
794,958
795,959
796,960
797,961
798,962
799,963
800,964
801,965
802,967
803,968
804,969
805,971
806,972
807,973
808,974
809,975
810,976
811,977
812,978
813,979
814,980
815,981
816,982
817,983
818,984
819,986
820,987
821,988
822,990
823,991
824,992
825,993
826,994
827,995
828,996
829,997
830,998
831,999
832,1000
